meter_id,install_date,meter_type,status
M1001,2024-08-23,AMI,active
M1002,2024-02-03,AMI,active
M1003,2024-10-05,AMR,active
M1004,2024-03-09,AMI,active
M1005,2024-07-20,AMI,active
M1006,2024-08-17,AMI,active
M1007,2024-02-26,AMR,active
M1008,2024-11-21,AMR,active
M1009,2024-07-15,AMR,active
M1010,2024-07-11,AMI,active
M1011,2024-07-14,AMR,active
M1012,2024-06-14,AMI,active
M1013,2024-11-09,AMI,active
M1014,2024-03-22,AMI,active
M1015,2024-02-03,AMR,active
M1016,2024-02-14,AMR,active
M1017,2024-12-24,AMI,active
M1018,2024-03-18,AMR,active
M1019,2024-10-18,AMI,active
M1020,2024-11-04,AMI,active
M1021,2024-06-28,AMI,active
M1022,2024-12-02,AMI,active
M1023,2024-10-10,AMI,active
M1024,2024-02-19,AMR,active
M1025,2024-03-22,AMI,active
M1026,2024-04-28,AMR,active
M1027,2024-06-28,AMI,active
M1028,2024-02-25,AMI,active
M1029,2024-10-08,AMI,active
M1030,2024-09-25,AMR,active
M1031,2024-10-22,AMI,active
M1032,2024-01-06,AMI,active
M1033,2024-12-25,AMI,active
M1034,2024-06-12,AMR,active
M1035,2024-03-28,AMR,active
M1036,2024-10-22,AMI,active
M1037,2024-02-05,AMR,active
M1038,2024-02-24,AMR,active
M1039,2024-07-14,AMI,active
M1040,2024-06-06,AMI,active
M1041,2024-05-24,AMI,active
M1042,2024-10-20,AMR,active
M1043,2024-01-05,AMR,active
M1044,2024-10-02,AMR,active
M1045,2024-05-15,AMI,active
M1046,2024-08-20,AMI,active
M1047,2024-07-09,AMR,active
M1048,2024-09-04,AMI,active
M1049,2024-07-04,AMI,active
M1050,2024-11-22,AMI,active
M1051,2024-09-22,AMI,active
M1052,2024-01-08,AMI,active
M1053,2024-10-02,AMR,active
M1054,2024-04-10,AMR,active
M1055,2024-03-25,AMI,active
M1056,2024-05-11,AMR,active
M1057,2024-01-16,AMI,active
M1058,2024-03-05,AMI,active
M1059,2024-09-23,AMR,active
M1060,2024-09-18,AMI,active
M1061,2024-02-13,AMR,active
M1062,2024-07-01,AMI,active
M1063,2024-02-28,AMI,active
M1064,2024-10-14,AMI,active
M1065,2024-12-21,AMI,active
M1066,2024-05-04,AMI,active
M1067,2024-01-11,AMR,active
M1068,2024-10-15,AMI,active
M1069,2024-02-14,AMR,active
M1070,2024-04-14,AMI,active
M1071,2024-09-03,AMI,active
M1072,2024-05-24,AMI,active
M1073,2024-04-11,AMR,active
M1074,2024-02-17,AMR,active
M1075,2024-09-17,AMR,active
M1076,2024-06-12,AMR,active
M1077,2024-04-04,AMR,active
M1078,2024-05-07,AMR,active
M1079,2024-10-05,AMR,active
M1080,2024-03-25,AMI,active
M1081,2024-08-25,AMI,active
M1082,2024-11-19,AMI,active
M1083,2024-11-11,AMR,active
M1084,2024-08-03,AMI,active
M1085,2024-08-21,AMI,active
M1086,2024-05-19,AMR,active
M1087,2024-06-17,AMR,active
M1088,2024-05-15,AMI,active
M1089,2024-01-02,AMI,active
M1090,2024-05-03,AMR,active
M1091,2024-10-20,AMI,active
M1092,2024-08-19,AMR,active
M1093,2024-08-26,AMR,active
M1094,2024-06-20,AMI,active
M1095,2024-09-05,AMR,active
M1096,2024-08-04,AMI,active
M1097,2024-12-03,AMR,active
M1098,2024-01-08,AMI,active
M1099,2024-08-17,AMR,active
M1100,2024-06-12,AMI,active
