reading_id,meter_id,reading_date,reading_value
,M1001,2025-06-01,275.95
,M1001,2025-07-01,293.12
,M1001,2025-08-01,315.0
,M1001,2025-09-01,342.14
,M1002,2025-06-01,426.38
,M1002,2025-07-01,442.98
,M1002,2025-08-01,470.45
,M1002,2025-09-01,493.06
,M1003,2025-06-01,386.74
,M1003,2025-07-01,408.0
,M1003,2025-08-01,423.22
,M1003,2025-09-01,438.42
,M1004,2025-06-01,140.4
,M1004,2025-07-01,146.92
,M1004,2025-08-01,154.57
,M1004,2025-09-01,169.2
,M1005,2025-06-01,364.28
,M1005,2025-07-01,384.16
,M1005,2025-08-01,396.71
,M1005,2025-09-01,406.24
,M1006,2025-06-01,260.65
,M1006,2025-07-01,277.3
,M1006,2025-08-01,295.7
,M1006,2025-09-01,305.16
,M1007,2025-06-01,246.61
,M1007,2025-07-01,265.28
,M1007,2025-08-01,276.37
,M1007,2025-09-01,296.62
,M1008,2025-06-01,337.58
,M1008,2025-07-01,353.83
,M1008,2025-08-01,368.22
,M1008,2025-09-01,397.33
,M1009,2025-06-01,272.54
,M1009,2025-07-01,284.2
,M1009,2025-08-01,307.13
,M1009,2025-09-01,317.81
,M1010,2025-06-01,220.05
,M1010,2025-07-01,226.29
,M1010,2025-08-01,236.32
,M1010,2025-09-01,255.51
,M1011,2025-06-01,463.06
,M1011,2025-07-01,482.09
,M1011,2025-08-01,499.39
,M1011,2025-09-01,515.59
,M1012,2025-06-01,494.89
,M1012,2025-07-01,508.57
,M1012,2025-08-01,523.81
,M1012,2025-09-01,548.15
,M1013,2025-06-01,361.14
,M1013,2025-07-01,368.56
,M1013,2025-08-01,388.51
,M1013,2025-09-01,404.2
,M1014,2025-06-01,174.09
,M1014,2025-07-01,195.76
,M1014,2025-08-01,219.94
,M1014,2025-09-01,243.53
,M1015,2025-06-01,145.57
,M1015,2025-07-01,161.71
,M1015,2025-08-01,181.7
,M1015,2025-09-01,205.55
,M1016,2025-06-01,380.57
,M1016,2025-07-01,397.46
,M1016,2025-08-01,408.82
,M1016,2025-09-01,419.64
,M1017,2025-06-01,489.57
,M1017,2025-07-01,515.71
,M1017,2025-08-01,533.28
,M1017,2025-09-01,557.3
,M1018,2025-06-01,244.26
,M1018,2025-07-01,258.39
,M1018,2025-08-01,278.56
,M1018,2025-09-01,305.79
,M1019,2025-06-01,380.21
,M1019,2025-07-01,407.59
,M1019,2025-08-01,412.59
,M1019,2025-09-01,435.53
,M1020,2025-06-01,383.38
,M1020,2025-07-01,399.58
,M1020,2025-08-01,418.13
,M1020,2025-09-01,424.21
,M1021,2025-06-01,168.26
,M1021,2025-07-01,188.41
,M1021,2025-08-01,215.27
,M1021,2025-09-01,230.16
,M1022,2025-06-01,396.68
,M1022,2025-07-01,411.67
,M1022,2025-08-01,435.16
,M1022,2025-09-01,455.14
,M1023,2025-06-01,148.71
,M1023,2025-07-01,169.79
,M1023,2025-08-01,188.37
,M1023,2025-09-01,212.18
,M1024,2025-06-01,337.36
,M1024,2025-07-01,353.39
,M1024,2025-08-01,369.04
,M1024,2025-09-01,378.26
,M1025,2025-06-01,377.17
,M1025,2025-07-01,396.74
,M1025,2025-08-01,414.77
,M1025,2025-09-01,431.36
,M1026,2025-06-01,240.9
,M1026,2025-07-01,256.37
,M1026,2025-08-01,272.32
,M1026,2025-09-01,285.5
,M1027,2025-06-01,168.15
,M1027,2025-07-01,188.57
,M1027,2025-08-01,217.89
,M1027,2025-09-01,236.94
,M1028,2025-06-01,400.68
,M1028,2025-07-01,418.23
,M1028,2025-08-01,424.72
,M1028,2025-09-01,442.56
,M1029,2025-06-01,497.2
,M1029,2025-07-01,529.98
,M1029,2025-08-01,546.83
,M1029,2025-09-01,566.64
,M1030,2025-06-01,516.66
,M1030,2025-07-01,527.65
,M1030,2025-08-01,552.5
,M1030,2025-09-01,575.01
,M1031,2025-06-01,487.73
,M1031,2025-07-01,500.27
,M1031,2025-08-01,526.69
,M1031,2025-09-01,536.27
,M1032,2025-06-01,158.9
,M1032,2025-07-01,190.05
,M1032,2025-08-01,202.1
,M1032,2025-09-01,216.7
,M1033,2025-06-01,386.78
,M1033,2025-07-01,401.76
,M1033,2025-08-01,410.46
,M1033,2025-09-01,428.87
,M1034,2025-06-01,315.02
,M1034,2025-07-01,335.86
,M1034,2025-08-01,348.35
,M1034,2025-09-01,375.65
,M1035,2025-06-01,120.59
,M1035,2025-07-01,136.66
,M1035,2025-08-01,159.54
,M1035,2025-09-01,170.16
,M1036,2025-06-01,242.91
,M1036,2025-07-01,268.75
,M1036,2025-08-01,277.11
,M1036,2025-09-01,296.22
,M1037,2025-06-01,500.03
,M1037,2025-07-01,522.72
,M1037,2025-08-01,533.3
,M1037,2025-09-01,543.37
,M1038,2025-06-01,257.82
,M1038,2025-07-01,277.61
,M1038,2025-08-01,297.11
,M1038,2025-09-01,317.19
,M1039,2025-06-01,420.38
,M1039,2025-07-01,439.78
,M1039,2025-08-01,459.53
,M1039,2025-09-01,473.25
,M1040,2025-06-01,206.0
,M1040,2025-07-01,226.84
,M1040,2025-08-01,237.69
,M1040,2025-09-01,259.63
,M1041,2025-06-01,512.14
,M1041,2025-07-01,534.87
,M1041,2025-08-01,559.82
,M1041,2025-09-01,572.89
,M1042,2025-06-01,185.76
,M1042,2025-07-01,206.24
,M1042,2025-08-01,229.17
,M1042,2025-09-01,258.55
,M1043,2025-06-01,234.84
,M1043,2025-07-01,248.32
,M1043,2025-08-01,260.99
,M1043,2025-09-01,274.09
,M1044,2025-06-01,432.79
,M1044,2025-07-01,452.83
,M1044,2025-08-01,472.49
,M1044,2025-09-01,495.46
,M1045,2025-06-01,321.15
,M1045,2025-07-01,347.88
,M1045,2025-08-01,364.29
,M1045,2025-09-01,398.61
,M1046,2025-06-01,337.66
,M1046,2025-07-01,350.52
,M1046,2025-08-01,362.09
,M1046,2025-09-01,382.99
,M1047,2025-06-01,412.12
,M1047,2025-07-01,434.4
,M1047,2025-08-01,455.24
,M1047,2025-09-01,472.8
,M1048,2025-06-01,323.53
,M1048,2025-07-01,332.44
,M1048,2025-08-01,347.76
,M1048,2025-09-01,370.9
,M1049,2025-06-01,384.06
,M1049,2025-07-01,394.58
,M1049,2025-08-01,413.62
,M1049,2025-09-01,433.93
,M1050,2025-06-01,463.25
,M1050,2025-07-01,482.18
,M1050,2025-08-01,500.53
,M1050,2025-09-01,511.67
,M1051,2025-06-01,367.36
,M1051,2025-07-01,388.72
,M1051,2025-08-01,413.22
,M1051,2025-09-01,437.55
,M1052,2025-06-01,348.63
,M1052,2025-07-01,361.01
,M1052,2025-08-01,382.1
,M1052,2025-09-01,403.18
,M1053,2025-06-01,182.79
,M1053,2025-07-01,223.91
,M1053,2025-08-01,245.33
,M1053,2025-09-01,270.15
,M1054,2025-06-01,196.06
,M1054,2025-07-01,217.97
,M1054,2025-08-01,234.08
,M1054,2025-09-01,256.63
,M1055,2025-06-01,390.5
,M1055,2025-07-01,407.08
,M1055,2025-08-01,422.17
,M1055,2025-09-01,440.66
,M1056,2025-06-01,381.78
,M1056,2025-07-01,388.58
,M1056,2025-08-01,410.7
,M1056,2025-09-01,419.02
,M1057,2025-06-01,476.23
,M1057,2025-07-01,500.76
,M1057,2025-08-01,519.15
,M1057,2025-09-01,530.68
,M1058,2025-06-01,402.18
,M1058,2025-07-01,424.26
,M1058,2025-08-01,437.88
,M1058,2025-09-01,457.18
,M1059,2025-06-01,135.75
,M1059,2025-07-01,149.84
,M1059,2025-08-01,180.7
,M1059,2025-09-01,202.51
,M1060,2025-06-01,251.57
,M1060,2025-07-01,270.69
,M1060,2025-08-01,284.72
,M1060,2025-09-01,307.83
,M1061,2025-06-01,401.08
,M1061,2025-07-01,418.39
,M1061,2025-08-01,439.42
,M1061,2025-09-01,462.62
,M1062,2025-06-01,498.63
,M1062,2025-07-01,514.63
,M1062,2025-08-01,529.78
,M1062,2025-09-01,543.86
,M1063,2025-06-01,372.83
,M1063,2025-07-01,393.26
,M1063,2025-08-01,403.7
,M1063,2025-09-01,427.2
,M1064,2025-06-01,431.69
,M1064,2025-07-01,455.88
,M1064,2025-08-01,464.77
,M1064,2025-09-01,479.86
,M1065,2025-06-01,439.12
,M1065,2025-07-01,452.88
,M1065,2025-08-01,473.54
,M1065,2025-09-01,496.19
,M1066,2025-06-01,206.04
,M1066,2025-07-01,223.68
,M1066,2025-08-01,228.68
,M1066,2025-09-01,240.54
,M1067,2025-06-01,212.15
,M1067,2025-07-01,222.67
,M1067,2025-08-01,250.46
,M1067,2025-09-01,259.88
,M1068,2025-06-01,501.6
,M1068,2025-07-01,520.38
,M1068,2025-08-01,547.03
,M1068,2025-09-01,556.42
,M1069,2025-06-01,438.73
,M1069,2025-07-01,456.79
,M1069,2025-08-01,468.9
,M1069,2025-09-01,489.67
,M1070,2025-06-01,480.78
,M1070,2025-07-01,495.18
,M1070,2025-08-01,513.6
,M1070,2025-09-01,529.29
,M1071,2025-06-01,196.29
,M1071,2025-07-01,218.26
,M1071,2025-08-01,245.78
,M1071,2025-09-01,256.35
,M1072,2025-06-01,402.12
,M1072,2025-07-01,408.41
,M1072,2025-08-01,425.5
,M1072,2025-09-01,447.03
,M1073,2025-06-01,347.85
,M1073,2025-07-01,362.12
,M1073,2025-08-01,378.87
,M1073,2025-09-01,393.91
,M1074,2025-06-01,290.7
,M1074,2025-07-01,313.8
,M1074,2025-08-01,333.94
,M1074,2025-09-01,347.79
,M1075,2025-06-01,431.17
,M1075,2025-07-01,451.02
,M1075,2025-08-01,473.89
,M1075,2025-09-01,495.67
,M1076,2025-06-01,424.28
,M1076,2025-07-01,438.91
,M1076,2025-08-01,461.4
,M1076,2025-09-01,483.06
,M1077,2025-06-01,319.04
,M1077,2025-07-01,337.74
,M1077,2025-08-01,363.41
,M1077,2025-09-01,377.86
,M1078,2025-06-01,288.75
,M1078,2025-07-01,305.53
,M1078,2025-08-01,322.23
